════════════════════════════════════════════════════════════
梭哈2狗 — 因子记录
生成时间: 2026-07-10
════════════════════════════════════════════════════════════

📐 活跃因子:
  退盘离散凝聚上盘 [2026-06-17~2026-07-06]: 10次 命中100% 盈亏+16757 — 亚盘退盘但离散凝聚于让球方，水位同步走低，退盘实为阻上而非看衰，该方可信。
  离散凝聚欧赔走低 [2026-06-19~2026-07-06]: 7次 命中100% 盈亏+9734 — 某方离散异常凝聚且对应欧赔持续走低，亚盘维持低水，机构真实防范上盘打出。
  离散凝聚高水诱下 [2026-06-20~2026-07-06]: 7次 命中86% 盈亏+16838 — 上盘离散极度凝聚，亚盘水位非低水甚至高水，制造阻力诱使关注下盘，实际仍打出上盘。
  离散凝聚低水 [2026-06-18~2026-07-01]: 6次 命中100% 盈亏+7280 — 离散极度凝聚于强方且亚盘处于深盘低水区间，形成强力保护，强方大胜概率高。
  离散低水升盘共振 [2026-06-19~2026-07-02]: 4次 命中100% 盈亏+6052 — 离散凝聚方亚盘降水升盘且欧赔持续下沉，三方一致强化，机构强力保护上盘，可重仓追强。
  离散极低诱杀 [2026-06-22~2026-07-02]: 4次 命中75% 盈亏+4026 — 离散极度凝聚于某方，而亚盘维持高水甚至升水，欧赔同步抬升，形成背离，实则诱盘，反向搏下盘。
  低水保护强盘 [2026-06-12~2026-06-20]: 3次 命中100% 盈亏+768 — 亚盘终盘上盘水位处于极端低位，深盘或浅盘均给出强力保护，上盘打出概率极高。
  欧亚背离上盘 [2026-06-12~2026-07-01]: 3次 命中100% 盈亏+2613 — 欧赔上盘赔率抬升但亚盘水位反向走低或维持低位，背离信号指向亚盘真实看好上盘
  退盘回位深盘打出 [2026-06-12~2026-06-21]: 2次 命中100% 盈亏+246 — 深盘经过先降后升回原盘，终盘水位降至极低，上盘护盘意图明确，打出或走水。
  退盘诱小真大 [2026-06-13~2026-06-15]: 2次 命中50% 盈亏-136 — 深盘或深大小盘下,若退盘且大球水位同步走高,但欧赔主胜赔率被极度压缩,则退盘是示弱诱小,实为保护大球,真大方向。
  退盘上水小球 [2026-06-16]: 1次 命中100% 盈亏+84 — 大小球盘口主动退盘且大球水位同步走高,非阻大而是真实看小,小球方向。
  升盘高水阻上 [2026-06-23]: 1次 命中100% 盈亏+83 — 亚盘连续升盘让深，上盘水位维持在高水区间，制造明显阻力，实则保护上盘顺利打出
  深盘震荡离散凝聚 [2026-06-24]: 1次 命中100% 盈亏+188 — 深盘让步伴随升退盘震荡，离散持续凝聚于让球方，表明机构通过盘口波动掩护赔付意愿，上盘穿盘概率高。
  欧赔碾压离散共振 [2026-06-27]: 1次 命中100% 盈亏+384 — 欧赔上盘赔率持续大幅走低，同时离散指标异常凝聚于该方向，深盘下仍具击穿能力
  离散汇聚平高防平 [2026-06-28]: 1次 命中- 盈亏+0 — 离散极度凝聚于一方，但平局离散同时异常冲高，平手盘下需防范平局走水
  深盘高水离散诱饵 [2026-06-28]: 1次 命中- 盈亏-150 — 离散极度凝聚某方但深盘水位高企不下，高回报形成阻力，穿盘难度极大
  退盘回升高水阻上 [2026-06-30]: 1次 命中- 盈亏+2676 — 亚盘早期退盘示弱后重新升回原盘并给高水，配合欧赔保护主胜，高水形成心理阻挡，上盘打出
  升盘深盘高水诱上 [2026-06-30]: 1次 命中0% 盈亏-2600 — 亚盘逐步升盘至远超实力差的深盘并搭配超高水，给出高回报诱惑，实则深盘难穿，下盘有利
  浅盘平局离散诱下 [2026-07-01]: 1次 命中0% 盈亏-1338 — 平赔大幅走低且离散凝聚平局，平半浅盘下盘易受热，此时上盘往往打出，追下盘危险。
  升盘离散凝聚 [2026-07-03]: 1次 命中- 盈亏+3760 — 亚盘出现升盘动作且临场高水，同时离散值极度凝聚指向该方，升盘高水意在阻吓而非真实看衰，上盘可期。
  离散凝聚升盘诱杀 [2026-07-06]: 1次 命中0% 盈亏-11000 — 离散极度凝聚于深盘方，且盘口连续升盘并给出超高水，实为诱盘，应反向投注下盘
  🪦 退役: 退盘上水大球受阻, 低水诱杀, 离散极致凝聚, 离散亚盘背离上盘, 离散凝聚同向下盘, 进球预期不支持深盘, 退盘示弱, 平局离散凝聚诱下, 无明确有效因子触发，信号噪声干扰, 深盘高水诱上, 无有效因子，平局离散凝聚在浅盘下已退休失效, 离散凝聚高水反诱, 欧亚背离高水诱上
